TIME_PERIOD;GEO;AGE;SEX;Obs_status;Obs_value
2020-W06;CH;Y_GE90;M;P;117
2020-W07;CH;_T;T;P;1379
2020-W07;CH;_T;F;P;735
2020-W07;CH;_T;M;P;644
2020-W07;CH;Y0T4;T;P;8
2020-W07;CH;Y0T4;F;P;4
2020-W07;CH;Y0T4;M;P;4
2020-W07;CH;Y5T9;T;P;1
2020-W07;CH;Y5T9;M;P;1
2020-W07;CH;Y10T14;T;P;1
2020-W07;CH;Y10T14;F;P;1
2020-W07;CH;Y20T24;T;P;3
2020-W07;CH;Y20T24;F;P;2
2020-W07;CH;Y20T24;M;P;1
2020-W07;CH;Y25T29;T;P;2
2020-W07;CH;Y25T29;F;P;2
2020-W07;CH;Y30T34;T;P;2
2020-W07;CH;Y30T34;M;P;2
2020-W07;CH;Y35T39;T;P;10
2020-W07;CH;Y35T39;F;P;5
2020-W07;CH;Y35T39;M;P;5
2020-W07;CH;Y40T44;T;P;8
2020-W07;CH;Y40T44;F;P;2
2020-W07;CH;Y40T44;M;P;6
2020-W07;CH;Y45T49;T;P;13
2020-W07;CH;Y45T49;F;P;6
2020-W07;CH;Y45T49;M;P;7
2020-W07;CH;Y50T54;T;P;16
2020-W07;CH;Y50T54;F;P;4
2020-W07;CH;Y50T54;M;P;12
2020-W07;CH;Y55T59;T;P;40
2020-W07;CH;Y55T59;F;P;14
2020-W07;CH;Y55T59;M;P;26
2020-W07;CH;Y60T64;T;P;58
2020-W07;CH;Y60T64;F;P;26
2020-W07;CH;Y60T64;M;P;32
2020-W07;CH;Y65T69;T;P;65
2020-W07;CH;Y65T69;F;P;24
2020-W07;CH;Y65T69;M;P;41
2020-W07;CH;Y70T74;T;P;111
2020-W07;CH;Y70T74;F;P;50
2020-W07;CH;Y70T74;M;P;61
2020-W07;CH;Y75T79;T;P;154
2020-W07;CH;Y75T79;F;P;65
2020-W07;CH;Y75T79;M;P;89
2020-W07;CH;Y80T84;T;P;207
2020-W07;CH;Y80T84;F;P;108
2020-W07;CH;Y80T84;M;P;99
2020-W07;CH;Y85T89;T;P;266
2020-W07;CH;Y85T89;F;P;132
2020-W07;CH;Y85T89;M;P;134
2020-W07;CH;Y_GE90;T;P;414
2020-W07;CH;Y_GE90;F;P;290
2020-W07;CH;Y_GE90;M;P;124
2020-W08;CH;_T;T;P;1361
2020-W08;CH;_T;F;P;707
2020-W08;CH;_T;M;P;654
2020-W08;CH;Y0T4;T;P;5
2020-W08;CH;Y0T4;F;P;1
2020-W08;CH;Y0T4;M;P;4
2020-W08;CH;Y5T9;T;P;3
2020-W08;CH;Y5T9;F;P;2
2020-W08;CH;Y5T9;M;P;1
2020-W08;CH;Y20T24;T;P;3
2020-W08;CH;Y20T24;F;P;1
2020-W08;CH;Y20T24;M;P;2
2020-W08;CH;Y25T29;T;P;3
2020-W08;CH;Y25T29;F;P;1
2020-W08;CH;Y25T29;M;P;2
2020-W08;CH;Y30T34;T;P;5
2020-W08;CH;Y30T34;F;P;2
2020-W08;CH;Y30T34;M;P;3
2020-W08;CH;Y40T44;T;P;6
2020-W08;CH;Y40T44;F;P;5
2020-W08;CH;Y40T44;M;P;1
2020-W08;CH;Y45T49;T;P;18
2020-W08;CH;Y45T49;F;P;5
2020-W08;CH;Y45T49;M;P;13
2020-W08;CH;Y50T54;T;P;31
2020-W08;CH;Y50T54;F;P;16
2020-W08;CH;Y50T54;M;P;15
2020-W08;CH;Y55T59;T;P;39
2020-W08;CH;Y55T59;F;P;12
2020-W08;CH;Y55T59;M;P;27
2020-W08;CH;Y60T64;T;P;63
2020-W08;CH;Y60T64;F;P;21
2020-W08;CH;Y60T64;M;P;42
2020-W08;CH;Y65T69;T;P;72
2020-W08;CH;Y65T69;F;P;33
2020-W08;CH;Y65T69;M;P;39
2020-W08;CH;Y70T74;T;P;100
2020-W08;CH;Y70T74;F;P;39
2020-W08;CH;Y70T74;M;P;61
2020-W08;CH;Y75T79;T;P;143
2020-W08;CH;Y75T79;F;P;58
2020-W08;CH;Y75T79;M;P;85
2020-W08;CH;Y80T84;T;P;197
2020-W08;CH;Y80T84;F;P;90
2020-W08;CH;Y80T84;M;P;107
2020-W08;CH;Y85T89;T;P;283
2020-W08;CH;Y85T89;F;P;148
2020-W08;CH;Y85T89;M;P;135
2020-W08;CH;Y_GE90;T;P;390
2020-W08;CH;Y_GE90;F;P;273
2020-W08;CH;Y_GE90;M;P;117
2020-W09;CH;_T;T;P;1339
2020-W09;CH;_T;F;P;674
2020-W09;CH;_T;M;P;665
2020-W09;CH;Y0T4;T;P;4
2020-W09;CH;Y0T4;F;P;1
2020-W09;CH;Y0T4;M;P;3
2020-W09;CH;Y15T19;T;P;1
2020-W09;CH;Y15T19;M;P;1
2020-W09;CH;Y20T24;T;P;2
2020-W09;CH;Y20T24;F;P;1
2020-W09;CH;Y20T24;M;P;1
2020-W09;CH;Y25T29;T;P;6
2020-W09;CH;Y25T29;M;P;6
2020-W09;CH;Y30T34;T;P;2
2020-W09;CH;Y30T34;M;P;2
2020-W09;CH;Y35T39;T;P;4
2020-W09;CH;Y35T39;F;P;2
2020-W09;CH;Y35T39;M;P;2
2020-W09;CH;Y40T44;T;P;8
2020-W09;CH;Y40T44;F;P;4
2020-W09;CH;Y40T44;M;P;4
2020-W09;CH;Y45T49;T;P;13
2020-W09;CH;Y45T49;F;P;6
2020-W09;CH;Y45T49;M;P;7
2020-W09;CH;Y50T54;T;P;22
2020-W09;CH;Y50T54;F;P;8
2020-W09;CH;Y50T54;M;P;14
2020-W09;CH;Y55T59;T;P;43
2020-W09;CH;Y55T59;F;P;15
2020-W09;CH;Y55T59;M;P;28
2020-W09;CH;Y60T64;T;P;58
2020-W09;CH;Y60T64;F;P;18
2020-W09;CH;Y60T64;M;P;40
2020-W09;CH;Y65T69;T;P;67
2020-W09;CH;Y65T69;F;P;32
2020-W09;CH;Y65T69;M;P;35
2020-W09;CH;Y70T74;T;P;104
2020-W09;CH;Y70T74;F;P;42
2020-W09;CH;Y70T74;M;P;62
2020-W09;CH;Y75T79;T;P;134
2020-W09;CH;Y75T79;F;P;60
2020-W09;CH;Y75T79;M;P;74
2020-W09;CH;Y80T84;T;P;197
2020-W09;CH;Y80T84;F;P;90
2020-W09;CH;Y80T84;M;P;107
2020-W09;CH;Y85T89;T;P;283
2020-W09;CH;Y85T89;F;P;142
2020-W09;CH;Y85T89;M;P;141
2020-W09;CH;Y_GE90;T;P;391
2020-W09;CH;Y_GE90;F;P;253
2020-W09;CH;Y_GE90;M;P;138
2020-W10;CH;_T;T;P;1351
2020-W10;CH;_T;F;P;707
2020-W10;CH;_T;M;P;644
2020-W10;CH;Y0T4;T;P;7
2020-W10;CH;Y0T4;F;P;3
2020-W10;CH;Y0T4;M;P;4
2020-W10;CH;Y15T19;T;P;2
2020-W10;CH;Y15T19;M;P;2
2020-W10;CH;Y20T24;T;P;3
2020-W10;CH;Y20T24;F;P;1
2020-W10;CH;Y20T24;M;P;2
2020-W10;CH;Y25T29;T;P;3
2020-W10;CH;Y25T29;M;P;3
2020-W10;CH;Y30T34;T;P;3
2020-W10;CH;Y30T34;M;P;3
2020-W10;CH;Y35T39;T;P;3
2020-W10;CH;Y35T39;F;P;1
2020-W10;CH;Y35T39;M;P;2
2020-W10;CH;Y40T44;T;P;10
2020-W10;CH;Y40T44;F;P;2
2020-W10;CH;Y40T44;M;P;8
2020-W10;CH;Y45T49;T;P;10
2020-W10;CH;Y45T49;F;P;3
2020-W10;CH;Y45T49;M;P;7
2020-W10;CH;Y50T54;T;P;28
2020-W10;CH;Y50T54;F;P;13
2020-W10;CH;Y50T54;M;P;15
2020-W10;CH;Y55T59;T;P;30
2020-W10;CH;Y55T59;F;P;10
2020-W10;CH;Y55T59;M;P;20
2020-W10;CH;Y60T64;T;P;61
2020-W10;CH;Y60T64;F;P;21
2020-W10;CH;Y60T64;M;P;40
2020-W10;CH;Y65T69;T;P;71
2020-W10;CH;Y65T69;F;P;25
2020-W10;CH;Y65T69;M;P;46
2020-W10;CH;Y70T74;T;P;99
2020-W10;CH;Y70T74;F;P;42
2020-W10;CH;Y70T74;M;P;57
2020-W10;CH;Y75T79;T;P;158
2020-W10;CH;Y75T79;F;P;76
2020-W10;CH;Y75T79;M;P;82
2020-W10;CH;Y80T84;T;P;193
2020-W10;CH;Y80T84;F;P;89
2020-W10;CH;Y80T84;M;P;104
2020-W10;CH;Y85T89;T;P;261
2020-W10;CH;Y85T89;F;P;141
2020-W10;CH;Y85T89;M;P;120
2020-W10;CH;Y_GE90;T;P;409
2020-W10;CH;Y_GE90;F;P;280
2020-W10;CH;Y_GE90;M;P;129
2020-W11;CH;_T;T;P;1384
2020-W11;CH;_T;F;P;730
2020-W11;CH;_T;M;P;654
2020-W11;CH;Y0T4;T;P;8
